Date,Open,High,Low,Close,Volume,GDP,date1
2018-06-25,11.63,11.67,11.38,11.5,36101900,20659.029,2018-10-26
2018-06-26,11.56,11.63,11.49,11.52,36627700,20659.029,2018-10-26
2018-06-27,11.54,11.64,11.4,11.42,27242000,20659.029,2018-10-26
2018-06-28,11.37,11.4,11.15,11.28,43836400,20659.029,2018-10-26
2018-06-29,11.32,11.37,11.03,11.07,44718500,20659.029,2018-10-26
2018-07-02,11.02,11.11,10.91,11.1,37892800,20891.367,2019-02-28
2018-07-03,11.1,11.15,10.94,10.99,16544800,20891.367,2019-02-28
2018-07-05,11.1,11.14,11.02,11.05,32008500,20891.367,2019-02-28
2018-07-06,11.04,11.1,10.92,11.06,25646700,20891.367,2019-02-28
2018-07-09,11.1,11.26,11.03,11.2,23916800,20891.367,2019-02-28
2018-07-10,11.2,11.26,11.17,11.25,21231500,20891.367,2019-02-28
2018-07-11,11.15,11.17,11.05,11.07,30030100,20891.367,2019-02-28
2018-07-12,11.1,11.14,11.0,11.05,27025200,20891.367,2019-02-28
2018-07-13,11.02,11.05,10.91,10.98,36561500,20891.367,2019-02-28
2018-07-16,10.95,10.97,10.76,10.85,46156800,20891.367,2019-02-28
2018-07-17,10.8,10.9,10.8,10.86,37584300,20891.367,2019-02-28
2018-07-18,10.85,10.9,10.81,10.87,36420000,20891.367,2019-02-28
2018-07-19,10.89,10.9,10.77,10.82,40308800,20891.367,2019-02-28
2018-07-20,10.68,10.72,10.51,10.56,41531200,20891.367,2019-02-28
2018-07-23,10.56,10.57,10.42,10.47,34942000,20891.367,2019-02-28
2018-07-24,10.51,10.74,10.5,10.57,47303000,20891.367,2019-02-28
2018-07-25,10.32,10.57,10.12,10.52,92497700,20891.367,2019-02-28
2018-07-26,10.14,10.16,9.84,9.89,103893000,20891.367,2019-02-28
2018-07-27,9.96,10.05,9.91,9.93,46171100,20891.367,2019-02-28
2018-07-30,9.96,10.1,9.93,10.07,35877000,20891.367,2019-02-28
2018-07-31,10.11,10.11,10.0,10.04,38026900,20891.367,2019-02-28
2018-08-01,10.06,10.08,9.82,9.9,44126700,20891.367,2019-02-28
2018-08-02,9.9,9.98,9.84,9.92,40318900,20891.367,2019-02-28
2018-08-03,9.93,10.06,9.93,10.04,25925100,20891.367,2019-02-28
2018-08-06,10.0,10.05,9.97,10.03,22247900,20891.367,2019-02-28
2018-08-07,10.04,10.1,10.02,10.08,27961200,20891.367,2019-02-28
2018-08-08,10.05,10.1,10.04,10.05,22600900,20891.367,2019-02-28
2018-08-09,10.06,10.07,9.9,9.91,35682600,20891.367,2019-02-28
2018-08-10,9.91,9.91,9.72,9.74,39180500,20891.367,2019-02-28
2018-08-13,9.74,9.75,9.42,9.46,66586200,20891.367,2019-02-28
2018-08-14,9.51,9.62,9.45,9.5,37657400,20891.367,2019-02-28
2018-08-15,9.46,9.5,9.35,9.45,36298600,20891.367,2019-02-28
2018-08-16,9.5,9.6,9.49,9.51,28857700,20891.367,2019-02-28
2018-08-17,9.53,9.6,9.46,9.55,32742900,20891.367,2019-02-28
2018-08-20,9.56,9.74,9.56,9.72,25252500,20891.367,2019-02-28
